  

Battery Voltage: 8.15
Target Velocity, Filtered Velocity, Unfiltered Velocity, Commanded Power, Actual Power, Error
85,87,85,69,-69,-2
85,85,86,69,-69,0
85,86,89,69,-69,-1
85,87,90,69,-69,-2
85,87,88,69,-69,-2
85,87,91,69,-69,-2
85,87,89,69,-69,-2
85,88,87,69,-69,-3
85,89,88,69,-69,-4
85,87,86,69,-69,-2
85,86,87,69,-69,-1
85,84,88,69,-69,0
85,86,89,69,-69,-1
85,87,86,69,-69,-2
85,85,87,69,-69,0
85,86,91,69,-69,-1
85,87,88,69,-69,-2
85,87,86,69,-69,-2
85,85,86,69,-69,0
85,85,88,69,-69,0
85,88,90,69,-69,-3
85,86,91,69,-69,-1
85,89,91,69,-69,-4
85,88,90,69,-69,-3
85,90,91,69,-69,-5
85,89,87,69,-69,-4
85,88,87,69,-69,-3
85,86,88,69,-69,-1
85,87,88,68,-68,-2
85,87,88,68,-68,-2
85,85,87,69,-69,0
85,85,87,69,-69,0
85,84,87,69,-69,0
85,88,90,69,-69,-3
85,86,84,69,-69,-1
85,87,82,69,-69,-2
85,85,89,69,-69,0
85,85,89,69,-69,0
85,86,90,69,-69,-1
85,89,89,68,-68,-4
85,88,92,68,-68,-3
85,88,88,68,-68,-3
85,87,87,68,-68,-2
85,88,88,68,-68,-3
85,85,85,68,-68,0
85,86,88,68,-68,-1
85,85,89,68,-68,0
85,86,86,68,-68,-1
