Battery Voltage: 8.33

Target Velocity, Filtered Velocity, Unfiltered Velocity, Motor Power, Error
0,0,0,0,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,2,0,127,0
85,3,0,127,0
85,5,0,127,0
85,7,16,127,0
85,11,22,127,0
85,14,28,127,0
85,18,27,127,0
85,19,23,127,0
85,17,13,127,0
85,16,11,127,0
85,19,28,127,0
85,22,32,127,0
85,24,23,127,0
85,25,29,127,0
85,26,32,127,0
85,28,24,127,0
85,28,22,127,0
85,26,16,127,0
85,24,13,127,0
85,22,13,127,0
85,21,11,127,0
85,18,11,127,0
85,17,11,127,0
85,16,10,127,0
85,14,8,127,0
85,13,8,127,0
85,13,15,127,0
85,14,15,127,0
85,15,20,127,0
85,16,20,127,0
85,17,20,127,0
85,18,21,127,0
85,19,22,127,0
85,20,24,127,0
85,22,25,127,0
85,22,29,127,0
85,24,29,127,0
85,25,28,127,0
85,27,32,127,0
85,28,32,127,0
85,30,34,127,0
85,31,34,127,0
85,32,37,127,0
85,34,36,127,0
85,35,40,127,0
85,36,42,127,0
85,39,42,127,0
85,40,43,127,0
85,41,45,127,0
85,43,46,127,0
85,44,46,127,0
85,45,48,127,0
85,47,51,127,0
85,49,53,127,0
85,50,53,127,0
85,51,54,127,0
85,53,54,127,0
85,54,57,127,0
85,56,57,127,0
85,57,56,127,0
85,59,57,127,0
85,60,58,127,0
85,61,61,127,0
85,62,62,127,0
85,64,61,127,0
85,64,63,127,0
85,65,66,127,0
85,67,66,127,0
85,67,70,127,0
85,68,73,127,0
85,71,74,127,0
85,72,72,127,0
85,73,70,127,0
85,73,71,127,0
85,74,78,127,0
85,76,77,127,0
85,76,74,75,8
85,77,76,76,7
85,78,74,78,6
85,78,74,79,6
85,78,77,81,6
85,77,74,83,7
85,79,74,84,5
85,78,80,85,6
85,79,82,87,5
85,80,83,88,4
85,82,87,88,2
85,83,84,88,1
85,84,91,83,0
85,86,88,83,-1
85,87,81,82,-2
85,87,85,82,-2
85,87,84,81,-2
85,87,81,81,-2
85,87,83,80,-2
85,86,84,80,-1
85,86,81,80,-1
85,86,86,79,-1
85,86,87,79,-1
85,87,89,79,-2
85,88,84,78,-3
85,87,85,77,-2
85,88,90,77,-3
85,87,82,76,-2
85,88,87,75,-3
85,87,87,75,-2
85,87,86,74,-2
85,88,89,74,-3
85,88,87,73,-3
85,87,87,72,-2
85,88,86,72,-3
85,87,87,71,-2
85,88,87,70,-3
85,88,84,70,-3
85,87,91,69,-2
85,87,87,69,-2
85,88,85,68,-3
85,88,89,67,-3
85,87,87,67,-2
85,88,88,66,-3
85,88,85,65,-3
85,88,88,64,-3
85,87,88,64,-2
85,87,87,63,-2
85,86,93,63,-1
85,87,85,63,-2
85,88,89,62,-3
85,88,87,61,-3
85,88,86,60,-3
85,87,86,60,-2
85,86,84,60,-1
85,86,87,59,-1
85,86,83,59,-1
85,85,85,69,0
85,86,89,68,-1
85,85,83,68,0
85,84,89,68,0
85,86,90,68,-1
85,85,83,68,0
85,85,90,68,0
85,86,90,68,-1
85,87,95,68,-2
85,88,91,67,-3
85,89,94,66,-4
85,89,89,65,-4
85,89,93,64,-4
85,90,87,63,-5
85,90,87,61,-5
85,89,87,60,-4
85,88,84,60,-3
85,87,87,59,-2
85,86,80,59,-1
85,86,81,59,-1
85,85,84,62,0
85,84,78,62,0
85,83,80,63,1
85,82,85,63,2
85,81,82,64,3
85,82,85,64,2
85,82,92,65,2
85,83,85,65,1
85,84,90,64,0
85,84,89,64,0
85,85,91,64,0
85,86,85,64,-1
85,86,86,64,-1
85,86,89,63,-1
85,86,84,63,-1
85,85,90,63,0
85,86,84,63,-1
85,86,82,63,-1
85,85,87,63,0
85,84,81,63,0
85,84,80,63,0
85,84,84,63,0
85,83,83,63,1
85,83,87,64,1
85,83,88,64,1
85,83,86,64,1
85,83,80,127,1
85,83,77,127,1
85,81,75,127,3
85,79,72,127,5
85,77,70,127,7
85,75,63,127,9
85,72,67,127,9
85,71,69,127,9
85,70,74,127,9
85,69,75,127,9
85,70,79,127,9
85,70,78,127,9
85,71,75,127,9
85,72,78,127,9
85,72,80,127,9
85,73,78,127,9
85,74,78,127,9
85,73,81,127,9
85,74,79,127,9
85,75,75,127,9
85,75,80,127,9
85,75,82,127,9
85,76,78,127,9
85,76,77,73,8
85,77,81,74,7
85,77,78,76,7
85,76,70,78,8
85,74,73,81,10
85,74,77,127,10
85,75,79,127,10
85,75,82,127,10
85,76,84,127,10
85,77,90,82,7
85,79,85,84,5
85,81,90,84,3
85,82,88,85,2
85,83,87,85,1
85,84,87,76,0
85,85,84,76,0
85,85,87,76,0
85,86,81,76,-1
85,85,82,76,0
85,84,85,76,0
85,85,79,76,0
85,84,80,76,0
85,84,85,76,0
85,83,81,76,1
85,83,82,77,1
85,83,91,77,1
85,84,88,77,0
85,85,90,77,0
85,86,89,76,-1
85,87,93,76,-2
85,87,86,75,-2
85,88,90,75,-3
85,88,89,74,-3
85,87,84,73,-2
85,87,91,73,-2
85,88,88,72,-3
85,88,89,71,-3
85,88,85,71,-3
85,88,90,70,-3
85,88,87,69,-3
85,86,83,69,-1
85,87,90,68,-2
85,86,87,68,-1
85,87,91,68,-2
85,87,87,67,-2
85,87,85,67,-2
85,87,89,66,-2
85,87,87,66,-2
85,87,87,65,-2
85,87,83,65,-2
