Battery Voltage: 7.98

Target Velocity, Filtered Velocity, Unfiltered Velocity, Motor Power, Error
0,0,0,0,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,1,0,127,0
85,2,0,127,0
85,4,0,127,0
85,6,17,127,0
85,9,17,127,0
85,12,22,127,0
85,16,28,127,0
85,19,29,127,0
85,21,18,127,0
85,20,16,127,0
85,20,22,127,0
85,23,32,127,0
85,25,29,127,0
85,26,29,127,0
85,28,32,127,0
85,30,37,127,0
85,33,32,127,0
85,32,19,127,0
85,29,18,127,0
85,27,16,127,0
85,24,10,127,0
85,21,10,127,0
85,19,10,127,0
85,18,10,127,0
85,16,10,127,0
85,16,10,127,0
85,15,14,127,0
85,15,14,127,0
85,14,13,127,0
85,14,13,127,0
85,14,14,127,0
85,15,21,127,0
85,16,21,127,0
85,17,22,127,0
85,19,26,127,0
85,20,23,127,0
85,21,23,127,0
85,22,26,127,0
85,23,25,127,0
85,24,28,127,0
85,25,29,127,0
85,27,30,127,0
85,27,32,127,0
85,29,34,127,0
85,31,34,127,0
85,32,37,127,0
85,34,39,127,0
85,36,38,127,0
85,37,39,127,0
85,38,42,127,0
85,39,41,127,0
85,41,43,127,0
85,42,47,127,0
85,44,48,127,0
85,45,48,127,0
85,46,48,127,0
85,48,50,127,0
85,50,54,127,0
85,51,55,127,0
85,52,56,127,0
85,54,56,127,0
85,55,55,127,0
85,57,57,127,0
85,58,59,127,0
85,59,59,127,0
85,60,58,127,0
85,61,60,127,0
85,62,63,127,0
85,63,63,127,0
85,64,62,127,0
85,65,67,127,0
85,66,67,127,0
85,67,69,127,0
85,68,69,127,0
85,69,70,127,0
85,70,70,127,0
85,71,69,127,0
85,72,69,127,0
85,72,69,127,0
85,73,76,127,0
85,73,77,127,0
85,74,73,127,0
85,75,75,127,0
85,76,82,127,0
85,78,80,75,6
85,78,73,76,6
85,79,69,77,5
85,78,70,79,6
85,77,78,81,7
85,77,75,82,7
85,77,73,84,7
85,77,79,86,7
85,78,82,87,6
85,79,84,89,5
85,80,84,90,4
85,81,87,90,3
85,83,84,91,1
85,83,82,91,1
85,84,85,84,0
85,85,79,84,0
85,84,81,84,0
85,85,87,84,0
85,85,82,84,0
85,85,81,84,0
85,85,87,84,0
85,85,80,84,0
85,85,86,84,0
85,85,89,84,0
85,86,82,84,-1
85,86,86,84,-1
85,86,85,84,-1
85,86,87,83,-1
85,87,87,83,-2
85,87,84,82,-2
85,87,89,82,-2
85,87,83,81,-2
85,87,82,81,-2
85,86,89,81,-1
85,86,84,80,-1
85,86,89,80,-1
85,87,91,80,-2
85,87,89,79,-2
85,88,88,78,-3
85,87,85,78,-2
85,87,90,77,-2
85,88,84,77,-3
85,88,89,76,-3
85,87,84,75,-2
85,86,82,75,-1
85,87,89,75,-2
85,86,87,74,-1
85,87,87,74,-2
85,87,87,73,-2
85,86,85,73,-1
85,86,86,73,-1
85,86,84,73,-1
85,86,90,72,-1
85,85,91,77,0
85,87,87,77,-2
85,86,91,77,-1
85,87,86,76,-2
85,87,90,76,-2
85,87,88,75,-2
85,87,89,75,-2
85,88,85,74,-3
85,87,91,73,-2
85,87,92,73,-2
85,88,86,72,-3
85,88,89,71,-3
85,87,85,71,-2
85,87,87,70,-2
85,86,86,70,-1
85,85,83,73,0
85,86,85,73,-1
85,85,85,73,0
85,85,92,73,0
85,86,90,72,-1
85,86,84,72,-1
85,85,90,72,0
85,85,87,72,0
85,86,87,72,-1
85,86,85,72,-1
85,85,84,72,0
85,86,87,72,-1
85,85,87,72,0
85,86,89,72,-1
85,86,83,71,-1
85,86,83,71,-1
85,85,88,71,0
85,85,81,71,0
85,85,86,71,0
85,84,87,71,0
85,84,85,71,0
85,84,89,71,0
85,84,85,71,0
85,85,84,71,0
85,84,87,71,0
85,84,86,71,0
85,85,86,71,0
85,85,82,71,0
85,84,84,71,0
85,84,89,71,0
85,84,84,71,0
85,84,87,71,0
85,84,87,71,0
85,84,82,71,0
85,84,85,71,0
85,84,83,71,0
85,84,81,71,0
85,83,86,72,1
85,83,87,72,1
85,83,88,72,1
85,84,85,72,0
85,83,83,72,1
85,84,89,72,0
85,84,82,72,0
85,84,82,72,0
85,83,87,72,1
85,83,81,72,1
85,83,87,73,1
85,83,84,73,1
85,83,81,73,1
85,84,84,73,0
85,83,83,73,1
85,83,81,73,1
85,83,83,73,1
85,82,82,74,2
85,82,85,74,2
85,83,88,75,1
85,83,85,75,1
85,84,88,74,0
85,84,84,74,0
85,83,85,74,1
85,84,89,74,0
85,84,81,74,0
85,84,85,74,0
85,84,87,74,0
85,83,83,74,1
85,83,84,75,1
85,83,84,75,1
85,83,82,75,1
85,83,83,75,1
85,82,82,76,2
85,82,83,76,2
85,82,85,77,2
85,82,84,77,2
85,83,88,78,1
85,84,89,76,0
85,84,84,76,0
85,84,88,76,0
85,84,85,76,0
85,85,85,76,0
85,85,86,76,0
85,84,82,76,0
85,84,85,76,0
85,84,87,76,0
85,84,83,76,0
85,83,81,127,1
85,83,78,127,1
85,83,78,127,1
85,81,78,127,3
85,79,69,127,5
85,78,69,127,6
85,76,73,127,8
85,75,76,127,9
85,74,75,127,9
85,73,74,127,9
85,73,76,127,9
85,74,78,127,9
85,74,76,127,9
85,73,75,127,9
85,73,74,127,9
85,73,75,127,9
85,73,77,127,9
85,73,80,127,9
85,74,77,127,9
85,74,76,127,9
85,74,84,127,9
85,75,82,127,9
85,77,79,127,9
85,77,82,86,7
85,78,81,88,6
85,79,82,89,5
85,79,82,90,5
85,79,81,92,5
85,79,83,93,5
85,81,82,94,3
85,81,83,94,3
85,81,84,95,3
85,82,86,96,2
85,82,81,96,2
85,83,89,96,1
85,83,83,97,1
85,83,82,97,1
85,84,89,89,0
85,85,88,89,0
85,85,91,89,0
85,85,88,89,0
85,87,92,88,-2
85,87,90,88,-2
85,88,89,87,-3
85,89,92,86,-4
85,89,85,85,-4
85,89,89,84,-4
85,88,87,83,-3
85,88,89,83,-3
85,88,88,82,-3
85,88,86,81,-3
85,87,87,81,-2
85,87,84,80,-2
85,87,90,80,-2
85,86,84,79,-1
