Battery Voltage: 8.51

Target Velocity, Filtered Velocity, Unfiltered Velocity, Motor Power, Error
0,0,0,0,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,2,0,127,0
85,4,0,127,0
85,6,0,127,0
85,9,18,127,0
85,12,25,127,0
85,15,29,127,0
85,19,30,127,0
85,21,20,127,0
85,20,16,127,0
85,21,26,127,0
85,23,30,127,0
85,26,31,127,0
85,27,30,127,0
85,29,31,127,0
85,30,23,127,0
85,29,23,127,0
85,27,15,127,0
85,25,13,127,0
85,22,13,127,0
85,20,11,127,0
85,18,9,127,0
85,17,9,127,0
85,16,14,127,0
85,16,14,127,0
85,15,13,127,0
85,14,11,127,0
85,14,11,127,0
85,15,19,127,0
85,16,20,127,0
85,17,20,127,0
85,18,21,127,0
85,19,22,127,0
85,20,24,127,0
85,21,25,127,0
85,23,25,127,0
85,23,27,127,0
85,25,29,127,0
85,26,29,127,0
85,27,31,127,0
85,29,32,127,0
85,30,34,127,0
85,31,35,127,0
85,32,37,127,0
85,34,38,127,0
85,35,40,127,0
85,37,44,127,0
85,39,43,127,0
85,40,43,127,0
85,42,46,127,0
85,43,50,127,0
85,45,49,127,0
85,47,48,127,0
85,48,49,127,0
85,49,52,127,0
85,51,55,127,0
85,52,56,127,0
85,54,57,127,0
85,55,55,127,0
85,56,55,127,0
85,57,58,127,0
85,58,61,127,0
85,60,62,127,0
85,62,61,127,0
85,63,64,127,0
85,65,69,127,0
85,66,68,127,0
85,67,68,127,0
85,68,69,127,0
85,69,72,127,0
85,70,70,127,0
85,71,67,127,0
85,72,69,127,0
85,73,78,127,0
85,75,78,127,0
85,75,72,127,0
85,76,73,127,0
85,77,80,75,7
85,78,79,76,6
85,79,75,77,5
85,78,70,79,6
85,78,73,80,6
85,77,79,82,7
85,79,77,83,5
85,78,80,85,6
85,79,84,86,5
85,81,87,87,3
85,82,87,87,2
85,84,89,82,0
85,86,84,82,-1
85,87,85,82,-2
85,87,87,81,-2
85,86,82,81,-1
85,87,84,80,-2
85,87,85,80,-2
85,86,81,80,-1
85,86,84,79,-1
85,86,87,79,-1
85,86,84,79,-1
85,86,86,79,-1
85,86,87,78,-1
85,87,91,78,-2
85,87,84,77,-2
85,87,85,77,-2
85,88,91,76,-3
85,89,86,75,-4
85,89,87,74,-4
85,89,86,73,-4
85,88,84,72,-3
85,88,88,72,-3
85,87,88,71,-2
85,88,90,70,-3
85,88,84,70,-3
85,88,85,69,-3
85,88,91,68,-3
85,87,83,68,-2
85,88,89,67,-3
85,87,88,66,-2
85,87,88,66,-2
85,88,90,65,-3
85,88,87,64,-3
85,88,90,64,-3
85,88,87,63,-3
85,87,90,62,-2
85,88,83,62,-3
85,87,83,61,-2
85,86,89,61,-1
85,87,85,60,-2
85,87,87,60,-2
85,86,85,60,-1
85,85,86,69,0
85,87,86,68,-2
85,86,84,68,-1
85,86,89,68,-1
85,86,86,67,-1
85,86,88,67,-1
85,86,93,67,-1
85,87,88,66,-2
85,87,92,66,-2
85,88,90,65,-3
85,88,92,64,-3
85,89,85,63,-4
85,89,90,62,-4
85,88,87,62,-3
85,87,84,61,-2
85,87,89,61,-2
85,87,82,60,-2
85,86,85,60,-1
85,86,87,60,-1
85,85,81,63,0
85,84,82,63,0
85,83,85,63,1
85,83,85,64,1
85,83,89,64,1
85,84,85,64,0
85,84,89,64,0
85,84,88,64,0
85,85,85,64,0
85,85,89,64,0
85,85,82,64,0
85,84,81,64,0
85,84,88,64,0
85,84,84,64,0
85,84,85,64,0
85,84,86,64,0
85,83,84,64,1
85,83,84,64,1
85,82,84,64,2
85,82,81,65,2
85,82,85,65,2
85,82,87,66,2
85,82,85,66,2
85,83,87,67,1
85,83,84,67,1
85,83,91,67,1
85,83,87,67,1
85,85,83,66,0
85,84,87,66,0
85,84,85,66,0
85,84,86,66,0
85,84,85,66,0
85,85,85,66,0
85,85,87,66,0
85,84,83,66,0
85,84,85,66,0
85,85,84,66,0
85,84,80,66,0
85,83,88,66,1
85,83,88,66,1
85,83,84,67,1
85,83,87,67,1
85,83,83,67,1
85,83,82,67,1
85,83,88,68,1
85,83,83,68,1
85,83,85,68,1
85,83,86,68,1
85,83,84,69,1
85,83,85,69,1
85,84,86,68,0
85,83,84,68,1
85,83,87,68,1
85,83,81,68,1
85,83,81,69,1
85,83,85,69,1
85,83,82,69,1
85,83,84,69,1
85,83,89,70,1
85,84,84,69,0
85,84,89,69,0
85,84,87,69,0
85,85,89,69,0
85,85,88,69,0
85,85,87,69,0
85,85,89,69,0
85,85,86,69,0
85,86,92,69,-1
85,86,85,69,-1
85,87,82,68,-2
85,85,88,68,0
85,86,82,68,-1
85,86,82,68,-1
85,84,85,68,0
85,84,84,68,0
85,84,86,68,0
85,84,85,68,0
85,83,85,68,1
85,84,86,68,0
85,84,84,68,0
85,83,88,68,1
85,84,85,68,0
85,84,82,68,0
85,84,87,68,0
85,84,88,68,0
85,83,82,69,1
85,84,87,69,0
85,84,85,69,0
85,84,82,69,0
85,84,85,69,0
85,83,84,69,1
85,83,82,69,1
85,83,87,69,1
85,83,87,69,1
85,84,88,69,0
85,85,83,69,0
85,84,85,69,0
85,84,89,69,0
85,84,82,69,0
85,84,87,69,0
85,84,89,69,0
85,84,81,69,0
85,84,88,69,0
85,83,86,69,1
85,84,83,69,0
85,84,86,69,0
85,84,85,69,0
85,84,86,69,0
85,84,85,69,0
85,84,85,69,0
85,84,89,69,0
85,85,85,69,0
85,85,89,69,0
85,85,85,69,0
85,85,83,69,0
85,85,89,69,0
85,85,84,69,0
85,85,85,69,0
85,84,87,69,0
85,84,85,69,0
85,85,87,69,0
85,84,84,69,0
85,84,85,69,0
85,85,88,69,0
85,85,82,69,0
85,85,85,69,0
85,85,81,127,0
85,83,79,127,1
85,81,70,127,3
85,79,69,127,5
85,77,68,127,7
85,75,70,127,9
85,73,75,127,9
85,72,79,127,9
85,72,76,127,9
85,73,75,127,9
85,73,80,127,9
85,73,81,127,9
85,73,76,127,9
85,74,76,127,9
85,74,82,127,9
85,75,79,127,9
85,75,77,127,9
85,75,82,127,9
