Battery Voltage: 8.45

Target Velocity, Filtered Velocity, Unfiltered Velocity, Motor Power, Error
0,0,0,0,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,2,0,127,0
85,4,0,127,0
85,7,18,127,0
85,11,26,127,0
85,15,30,127,0
85,19,36,127,0
85,23,30,127,0
85,24,20,127,0
85,23,16,127,0
85,24,28,127,0
85,27,37,127,0
85,29,33,127,0
85,30,30,127,0
85,32,30,127,0
85,31,19,127,0
85,29,19,127,0
85,27,14,127,0
85,24,11,127,0
85,21,11,127,0
85,19,11,127,0
85,18,10,127,0
85,16,10,127,0
85,16,13,127,0
85,15,13,127,0
85,15,13,127,0
85,15,14,127,0
85,14,14,127,0
85,14,14,127,0
85,15,22,127,0
85,17,22,127,0
85,18,22,127,0
85,19,23,127,0
85,20,26,127,0
85,21,24,127,0
85,23,28,127,0
85,24,28,127,0
85,25,30,127,0
85,27,31,127,0
85,28,33,127,0
85,29,33,127,0
85,31,34,127,0
85,32,37,127,0
85,33,35,127,0
85,35,40,127,0
85,37,43,127,0
85,38,45,127,0
85,41,45,127,0
85,42,47,127,0
85,44,47,127,0
85,45,52,127,0
85,47,51,127,0
85,49,51,127,0
85,51,52,127,0
85,52,55,127,0
85,53,57,127,0
85,55,58,127,0
85,57,58,127,0
85,58,58,127,0
85,58,60,127,0
85,60,63,127,0
85,61,65,127,0
85,63,64,127,0
85,64,64,127,0
85,65,68,127,0
85,66,69,127,0
85,67,67,127,0
85,68,66,127,0
85,69,67,127,0
85,70,69,127,0
85,71,72,127,0
85,72,72,127,0
85,73,76,127,0
85,73,75,127,0
85,75,75,127,0
85,76,80,127,0
85,77,81,75,7
85,79,79,75,5
85,80,79,75,4
85,81,83,75,3
85,82,81,75,2
85,83,79,75,1
85,83,82,75,1
85,83,81,75,1
85,84,83,75,0
85,85,84,75,0
85,85,84,75,0
85,85,87,75,0
85,86,84,75,-1
85,86,84,75,-1
85,87,90,75,-2
85,87,85,75,-2
85,88,91,75,-3
85,89,93,74,-4
85,89,83,74,-4
85,89,80,74,-4
85,88,84,74,-3
85,87,84,74,-2
85,88,81,74,-3
85,86,80,74,-1
85,85,85,74,0
85,86,88,74,-1
85,86,85,74,-1
85,86,93,74,-1
85,88,89,74,-3
85,88,93,74,-3
85,88,90,74,-3
85,89,92,73,-4
85,90,91,73,-5
85,89,89,73,-4
85,90,96,73,-5
85,91,90,72,-6
85,91,94,72,-6
85,92,89,72,-7
85,92,93,71,-7
85,92,91,71,-7
85,92,91,71,-7
85,92,85,70,-7
85,91,92,70,-6
85,91,89,70,-6
85,90,87,69,-5
85,90,87,69,-5
85,89,88,69,-4
85,90,89,69,-5
85,90,87,68,-5
85,88,91,68,-3
85,89,87,68,-4
85,88,96,68,-3
85,89,91,68,-4
85,90,92,68,-5
85,90,91,67,-5
85,90,95,67,-5
85,91,93,67,-6
85,90,91,66,-5
85,90,92,66,-5
85,90,87,66,-5
85,89,93,66,-4
85,89,89,66,-4
85,90,90,65,-5
85,89,87,65,-4
85,90,91,65,-5
85,89,85,65,-4
85,88,90,65,-3
85,88,88,64,-3
85,88,89,64,-3
85,88,91,64,-3
85,88,89,64,-3
85,89,89,64,-4
85,89,87,64,-4
85,88,92,63,-3
85,88,84,63,-3
85,88,89,63,-3
85,87,87,63,-2
85,87,87,63,-2
85,88,89,63,-3
85,87,87,63,-2
85,87,91,63,-2
85,87,85,62,-2
85,86,90,62,-1
85,87,89,62,-2
85,87,87,62,-2
85,87,93,62,-2
85,87,90,62,-2
85,88,90,62,-3
85,87,87,62,-2
85,88,91,62,-3
85,88,86,61,-3
85,87,89,61,-2
85,88,89,61,-3
85,87,84,61,-2
85,86,89,61,-1
85,86,87,61,-1
85,87,88,61,-2
85,86,88,61,-1
85,85,85,66,0
85,86,87,66,-1
85,85,84,66,0
85,84,91,66,0
85,85,88,66,0
85,85,89,66,0
85,86,93,66,-1
85,87,88,66,-2
85,87,91,66,-2
85,87,89,66,-2
85,88,89,66,-3
85,87,84,66,-2
85,87,91,65,-2
85,87,87,65,-2
85,87,84,65,-2
85,87,87,65,-2
85,86,85,65,-1
85,86,85,65,-1
85,85,85,65,0
85,84,84,65,0
85,84,86,65,0
85,84,86,65,0
85,85,88,65,0
85,85,87,65,0
85,86,85,65,-1
85,86,90,65,-1
85,86,87,65,-1
85,86,88,65,-1
85,85,85,65,0
85,86,87,65,-1
85,85,87,65,0
85,86,87,65,-1
85,85,89,65,0
85,85,82,65,0
85,85,84,65,0
85,84,88,65,0
85,85,81,65,0
85,85,87,65,0
85,83,87,65,1
85,84,87,65,0
85,85,89,65,0
85,85,87,65,0
85,85,88,65,0
85,85,85,65,0
85,85,87,65,0
85,87,87,65,-2
85,85,84,65,0
85,85,89,65,0
85,85,85,65,0
85,86,84,65,-1
85,85,88,65,0
85,85,85,65,0
85,86,85,65,-1
85,85,83,65,0
85,84,85,65,0
85,85,87,65,0
85,84,86,65,0
85,84,92,65,0
85,86,85,65,-1
85,86,85,65,-1
85,86,90,65,-1
85,86,87,65,-1
85,86,87,65,-1
85,85,85,65,0
85,86,86,65,-1
85,85,85,65,0
85,84,86,65,0
85,86,89,65,-1
85,85,81,65,0
85,84,82,65,0
85,85,87,65,0
85,85,81,65,0
85,84,82,65,0
85,84,89,65,0
85,84,86,65,0
85,84,89,65,0
85,84,87,65,0
85,86,88,65,-1
85,85,88,65,0
85,85,87,65,0
85,86,87,65,-1
85,85,82,65,0
85,85,89,65,0
85,85,89,65,0
85,85,82,65,0
85,85,87,65,0
85,84,84,65,0
85,84,82,65,0
85,85,85,65,0
85,84,84,65,0
85,83,83,65,1
85,84,88,65,0
85,84,88,65,0
85,84,90,65,0
85,85,84,65,0
85,85,90,65,0
85,85,87,65,0
85,85,84,65,0
85,86,88,65,-1
85,85,84,65,0
85,85,87,65,0
85,85,89,65,0
85,85,85,65,0
85,85,85,65,0
85,85,82,65,0
85,84,87,65,0
85,84,84,65,0
85,84,81,65,0
