Battery Voltage: 7.45

Target Velocity, Filtered Velocity, Unfiltered Velocity, Motor Power, Error
0,0,0,0,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,2,0,127,0
85,3,0,127,0
85,4,0,127,0
85,6,0,127,0
85,8,15,127,0
85,11,21,127,0
85,14,25,127,0
85,16,24,127,0
85,19,22,127,0
85,17,15,127,0
85,17,12,127,0
85,19,27,127,0
85,22,25,127,0
85,23,25,127,0
85,24,25,127,0
85,26,29,127,0
85,28,30,127,0
85,28,23,127,0
85,27,18,127,0
85,25,14,127,0
85,23,14,127,0
85,20,12,127,0
85,19,10,127,0
85,17,10,127,0
85,16,10,127,0
85,15,11,127,0
85,15,11,127,0
85,13,11,127,0
85,12,10,127,0
85,13,10,127,0
85,13,18,127,0
85,15,20,127,0
85,16,20,127,0
85,16,20,127,0
85,18,21,127,0
85,19,23,127,0
85,19,23,127,0
85,20,23,127,0
85,21,27,127,0
85,23,27,127,0
85,25,30,127,0
85,26,29,127,0
85,27,32,127,0
85,28,31,127,0
85,29,33,127,0
85,30,34,127,0
85,32,36,127,0
85,33,38,127,0
85,35,39,127,0
85,36,40,127,0
85,38,41,127,0
85,39,41,127,0
85,40,45,127,0
85,42,46,127,0
85,43,45,127,0
85,44,47,127,0
85,47,51,127,0
85,48,50,127,0
85,49,51,127,0
85,51,52,127,0
85,52,53,127,0
85,53,53,127,0
85,54,53,127,0
85,55,56,127,0
85,56,58,127,0
85,58,58,127,0
85,59,61,127,0
85,60,61,127,0
85,61,61,127,0
85,62,62,127,0
85,63,62,127,0
85,64,61,127,0
85,64,63,127,0
85,65,67,127,0
85,67,66,127,0
85,68,65,127,0
85,68,65,127,0
85,69,70,127,0
85,70,71,127,0
85,70,70,127,0
85,70,71,127,0
85,72,72,127,0
85,73,72,127,0
85,74,76,127,0
85,74,76,127,0
85,75,76,127,0
85,76,76,127,0
85,78,76,75,6
85,77,80,75,7
85,78,77,75,6
85,79,74,75,5
85,79,78,75,5
85,79,79,75,5
85,80,78,75,4
85,79,77,75,5
85,80,81,75,4
85,80,82,75,4
85,81,78,75,3
85,82,77,76,2
85,81,76,76,3
85,80,76,76,4
85,79,74,76,5
85,79,73,76,5
85,78,79,76,6
85,78,81,76,6
85,79,78,76,5
85,78,83,76,6
85,79,84,76,5
85,81,80,76,3
85,80,80,77,4
85,81,86,77,3
85,82,81,77,2
85,82,84,77,2
85,82,86,77,2
85,83,84,77,1
85,84,84,76,0
85,84,84,76,0
85,84,82,76,0
85,84,83,76,0
85,84,83,76,0
85,84,81,76,0
85,83,85,76,1
85,83,85,76,1
85,84,82,76,0
85,83,85,76,1
85,83,82,76,1
85,83,83,76,1
85,84,86,76,0
85,84,79,76,0
85,84,84,76,0
85,83,85,76,1
85,83,82,76,1
85,83,84,76,1
85,83,85,76,1
85,83,81,76,1
85,82,83,76,2
85,83,84,76,1
85,82,81,76,2
85,82,84,76,2
85,82,85,76,2
85,82,85,76,2
85,82,86,76,2
85,83,81,76,1
85,83,82,76,1
85,82,87,76,2
85,83,79,76,1
85,83,80,76,1
85,82,84,76,2
85,82,79,76,2
85,81,81,77,3
85,82,86,77,2
85,82,80,77,2
85,82,80,77,2
85,82,85,77,2
85,82,80,77,2
85,81,84,77,3
85,81,85,77,3
85,82,84,77,2
85,82,87,77,2
85,82,84,77,2
85,83,84,77,1
85,83,85,77,1
85,83,83,77,1
85,84,86,77,0
85,83,84,77,1
85,83,80,77,1
85,83,85,77,1
85,82,86,77,2
85,83,81,77,1
85,83,85,77,1
85,82,86,77,2
85,82,80,77,2
85,82,84,77,2
85,82,85,77,2
85,82,81,77,2
85,82,85,77,2
85,81,88,77,3
85,82,84,77,2
85,83,85,77,1
85,82,82,77,2
85,83,84,77,1
85,84,85,77,0
85,83,80,77,1
85,82,85,77,2
85,83,84,77,1
85,82,81,77,2
85,82,87,77,2
85,83,85,77,1
85,82,81,77,2
85,82,85,77,2
85,82,85,77,2
85,82,80,77,2
85,81,85,77,3
85,81,87,77,3
85,82,82,77,2
85,82,87,77,2
85,83,84,77,1
85,82,82,78,2
85,83,86,78,1
85,83,84,78,1
85,83,85,78,1
85,83,84,78,1
85,83,82,78,1
85,83,87,78,1
85,83,82,78,1
85,83,82,78,1
85,83,87,78,1
85,83,81,78,1
85,83,85,78,1
85,83,85,78,1
85,83,81,78,1
85,82,87,78,2
85,82,88,78,2
85,83,84,78,1
85,84,85,77,0
85,84,82,77,0
85,83,87,77,1
85,84,85,77,0
85,83,81,78,1
85,83,85,78,1
85,83,84,78,1
85,82,82,78,2
85,82,88,78,2
85,83,86,78,1
85,83,82,78,1
85,82,87,78,2
85,82,82,78,2
85,84,81,78,0
85,82,86,78,2
85,82,84,78,2
85,83,85,78,1
85,83,87,78,1
85,84,84,78,0
85,84,85,78,0
85,84,84,78,0
85,84,84,78,0
85,85,84,78,0
85,84,81,78,0
85,83,82,78,1
85,83,87,78,1
85,83,82,78,1
85,83,87,78,1
85,83,86,78,1
85,83,81,78,1
85,82,85,78,2
85,82,87,78,2
85,83,81,78,1
85,83,87,78,1
85,83,87,78,1
85,83,87,78,1
85,83,86,78,1
85,83,83,78,1
85,83,89,78,1
85,84,81,78,0
85,84,82,78,0
85,84,87,78,0
85,83,81,78,1
85,83,87,78,1
85,83,89,78,1
85,83,82,78,1
85,84,85,78,0
85,83,87,78,1
85,83,82,78,1
85,84,85,78,0
85,83,84,78,1
85,82,88,78,2
85,83,88,78,1
85,83,85,78,1
85,84,88,78,0
85,84,82,78,0
85,84,84,78,0
85,84,87,78,0
85,84,81,78,0
85,83,87,78,1
85,84,87,78,0
85,84,82,78,0
85,84,87,78,0
85,84,84,78,0
85,84,86,78,0
85,84,85,78,0
85,83,83,78,1
85,83,85,78,1
85,83,85,78,1
85,83,84,78,1
85,83,89,78,1
85,84,83,78,0
85,84,87,78,0
85,84,87,78,0
85,84,84,78,0
85,84,85,78,0
85,84,85,78,0
85,83,82,78,1
85,84,85,78,0
85,84,84,78,0
85,84,87,78,0
85,84,84,78,0
85,83,82,78,1
85,83,86,78,1
85,83,85,78,1
85,83,82,78,1
