  

Battery Voltage: 8.57

Target Velocity, Filtered Velocity, Unfiltered Velocity, Motor Power, Error
0,0,0,0,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,1,0,127,0
85,2,0,127,0
85,3,0,127,0
85,5,11,127,0
85,7,11,127,0
85,11,20,127,0
85,14,25,127,0
85,17,25,127,0
85,18,21,127,0
85,16,12,127,0
85,14,9,127,0
85,15,9,127,0
85,16,16,127,0
85,16,16,127,0
85,18,21,127,0
85,19,26,127,0
85,22,28,127,0
85,23,26,127,0
85,24,24,127,0
85,24,17,127,0
85,22,17,127,0
85,20,12,127,0
85,19,11,127,0
85,17,11,127,0
85,16,11,127,0
85,14,8,127,0
85,13,8,127,0
85,13,8,127,0
85,13,14,127,0
85,14,17,127,0
85,15,17,127,0
85,16,19,127,0
85,17,21,127,0
85,18,21,127,0
85,19,23,127,0
85,21,25,127,0
85,22,27,127,0
85,23,26,127,0
85,24,30,127,0
85,26,28,127,0
85,27,31,127,0
85,29,32,127,0
85,30,33,127,0
85,30,33,127,0
85,32,37,127,0
85,33,36,127,0
85,35,39,127,0
85,36,39,127,0
85,38,40,127,0
85,39,43,127,0
85,41,46,127,0
85,43,48,127,0
85,45,46,127,0
85,46,50,127,0
85,48,51,127,0
85,50,54,127,0
85,52,57,127,0
85,53,58,127,0
85,55,56,127,0
85,56,57,127,0
85,57,59,127,0
85,58,61,127,0
85,59,59,127,0
85,61,60,127,0
85,62,62,127,0
85,63,67,127,0
85,65,67,127,0
85,65,68,127,0
85,67,69,127,0
85,68,71,127,0
85,69,69,127,0
85,71,68,127,0
85,71,69,127,0
85,72,71,127,0
85,73,76,127,0
85,74,74,127,0
85,75,73,127,0
85,75,78,127,0
85,77,81,127,0
85,79,79,75,5
85,79,79,76,5
85,81,74,77,3
85,80,77,78,4
85,80,77,79,4
85,80,75,80,4
85,79,78,81,5
85,79,80,82,5
85,80,85,83,4
85,81,87,84,3
85,84,89,80,0
85,85,84,80,0
85,86,84,80,-1
85,86,86,80,-1
85,87,80,79,-2
85,86,84,79,-1
85,86,86,79,-1
85,86,84,78,-1
85,86,87,78,-1
85,86,87,78,-1
85,87,85,77,-2
85,87,87,77,-2
85,87,87,76,-2
85,88,87,76,-3
85,88,84,75,-3
85,88,85,74,-3
85,88,90,73,-3
85,88,84,73,-3
85,88,87,72,-3
85,88,86,71,-3
85,87,83,71,-2
85,87,87,70,-2
85,87,85,70,-2
85,86,86,69,-1
85,86,89,69,-1
85,87,89,69,-2
85,87,91,68,-2
85,88,85,67,-3
85,88,91,67,-3
85,88,88,66,-3
85,89,88,65,-4
85,88,89,64,-3
85,87,85,64,-2
85,87,87,63,-2
85,87,86,63,-2
85,87,89,62,-2
85,87,86,62,-2
85,87,84,61,-2
85,86,88,61,-1
85,86,82,61,-1
85,85,82,68,0
85,85,90,68,0
85,86,87,68,-1
85,86,90,68,-1
85,86,88,68,-1
85,87,91,67,-2
85,86,89,67,-1
85,87,89,66,-2
85,88,88,66,-3
85,88,86,65,-3
85,88,91,64,-3
85,88,88,63,-3
85,88,89,63,-3
85,87,85,62,-2
85,87,85,62,-2
85,87,85,61,-2
85,86,82,61,-1
85,85,85,64,0
85,85,84,64,0
85,84,84,64,0
85,84,91,64,0
85,85,84,64,0
85,84,84,64,0
85,85,91,64,0
85,85,88,64,0
85,85,87,64,0
85,85,85,64,0
85,86,88,64,-1
85,85,87,64,0
85,85,87,64,0
85,86,89,64,-1
85,85,84,64,0
85,86,89,63,-1
85,85,89,63,0
85,85,81,63,0
85,85,87,63,0
85,84,85,63,0
85,84,85,63,0
85,85,87,63,0
85,85,85,63,0
85,84,86,63,0
85,84,84,63,0
85,84,85,63,0
85,85,84,63,0
85,85,82,63,0
85,83,82,64,1
85,83,88,64,1
85,84,83,64,0
85,83,88,64,1
85,83,85,64,1
85,84,84,64,0
85,84,87,64,0
85,83,85,64,1
85,83,86,64,1
85,84,87,64,0
85,84,87,64,0
85,85,87,64,0
85,85,82,64,0
85,84,84,64,0
85,84,89,64,0
85,85,81,64,0
85,84,86,64,0
85,84,87,64,0
85,84,80,64,0
85,83,87,64,1
85,82,85,65,2
85,83,82,65,1
85,83,85,65,1
85,82,84,66,2
85,83,85,66,1
85,83,84,66,1
85,82,84,67,2
85,83,89,67,1
85,84,84,66,0
85,84,89,66,0
85,85,89,66,0
85,84,83,66,0
85,84,89,66,0
85,84,87,66,0
85,84,81,66,0
85,83,86,66,1
85,84,84,66,0
85,83,84,66,1
85,83,85,67,1
85,84,84,67,0
85,84,87,67,0
85,84,85,67,0
85,84,82,67,0
85,83,85,67,1
85,83,82,67,1
85,82,84,67,2
85,83,89,68,1
85,84,82,67,0
85,84,87,67,0
85,84,89,67,0
85,84,85,67,0
85,84,85,67,0
85,84,84,67,0
85,84,85,67,0
85,84,85,67,0
85,83,85,67,1
85,84,87,67,0
85,84,85,67,0
85,83,83,68,1
85,83,87,68,1
85,83,81,68,1
85,83,81,68,1
85,83,89,69,1
85,83,85,69,1
85,83,88,69,1
85,83,87,69,1
85,85,85,69,0
85,85,88,69,0
85,85,85,69,0
85,85,85,69,0
85,85,85,69,0
85,85,83,69,0
85,85,89,69,0
85,84,82,69,0
85,84,82,69,0
85,84,89,69,0
85,84,82,69,0
85,84,85,69,0
85,84,84,69,0
85,83,82,69,1
85,84,87,69,0
85,84,87,69,0
85,84,88,69,0
85,85,87,69,0
85,85,85,69,0
85,84,90,69,0
85,86,82,69,-1
85,85,88,69,0
85,84,89,69,0
85,85,81,69,0
85,84,88,69,0
85,84,85,69,0
85,85,85,69,0
85,85,87,69,0
85,84,86,69,0
85,85,85,69,0
85,85,85,69,0
85,84,85,69,0
85,84,90,69,0
85,85,85,69,0
85,85,89,69,0
85,85,85,69,0
85,85,85,69,0
85,85,90,69,0
85,85,84,69,0
85,85,86,69,0
85,85,87,69,0
85,85,85,69,0
85,85,88,69,0
85,85,84,69,0
85,85,89,69,0
85,85,88,69,0
85,85,82,69,0
85,85,87,69,0
85,85,83,69,0
85,84,83,69,0
