Battery Voltage: 8.04

Target Velocity, Filtered Velocity, Unfiltered Velocity, Motor Power, Error
0,0,0,0,0
88,0,0,127,0
88,0,0,127,0
88,0,0,127,0
88,0,0,127,0
88,0,0,127,0
88,0,0,127,0
88,0,0,127,0
88,0,0,127,0
88,0,0,127,0
88,0,0,127,0
88,0,0,127,0
88,0,0,127,0
88,2,0,127,0
88,4,0,127,0
88,5,12,127,0
88,8,19,127,0
88,11,19,127,0
88,14,25,127,0
88,17,17,127,0
88,15,11,127,0
88,13,8,127,0
88,11,6,127,0
88,9,5,127,0
88,8,4,127,0
88,6,3,127,0
88,5,3,127,0
88,5,3,127,0
88,4,3,127,0
88,5,3,127,0
88,5,7,127,0
88,7,7,127,0
88,9,18,127,0
88,11,18,127,0
88,13,20,127,0
88,15,21,127,0
88,17,20,127,0
88,17,16,127,0
88,17,16,127,0
88,16,13,127,0
88,15,13,127,0
88,16,14,127,0
88,16,14,127,0
88,16,16,127,0
88,17,16,127,0
88,18,20,127,0
88,18,21,127,0
88,20,25,127,0
88,21,25,127,0
88,23,25,127,0
88,24,28,127,0
88,25,28,127,0
88,27,30,127,0
88,28,31,127,0
88,29,31,127,0
88,30,34,127,0
88,32,35,127,0
88,33,37,127,0
88,35,39,127,0
88,36,40,127,0
88,38,42,127,0
88,40,42,127,0
88,41,43,127,0
88,42,45,127,0
88,44,45,127,0
88,45,48,127,0
88,47,48,127,0
88,48,49,127,0
88,49,52,127,0
88,51,55,127,0
88,52,56,127,0
88,54,55,127,0
88,56,55,127,0
88,56,56,127,0
88,57,58,127,0
88,58,60,127,0
88,59,60,127,0
88,60,60,127,0
88,61,63,127,0
88,62,65,127,0
88,64,65,127,0
88,65,66,127,0
88,66,67,127,0
88,67,69,127,0
88,69,70,127,0
88,70,70,127,0
88,71,70,127,0
88,72,75,127,0
88,73,73,127,0
88,74,71,127,0
88,74,74,127,0
88,75,77,127,0
88,77,77,127,0
88,77,75,127,0
88,78,79,127,0
88,79,80,127,0
88,80,78,75,7
88,80,77,76,7
88,80,72,78,7
88,79,74,80,8
88,79,75,82,8
88,79,75,84,8
88,79,79,86,8
88,79,85,88,8
88,80,87,90,7
88,82,88,91,5
88,84,91,92,3
88,85,88,92,2
88,87,89,85,0
88,87,87,85,0
88,88,84,85,0
88,88,85,85,0
88,88,85,85,0
88,88,82,85,0
88,88,82,85,0
88,87,87,85,0
88,88,85,85,0
88,87,84,85,0
88,86,89,85,1
88,88,89,85,0
88,88,91,85,0
88,89,91,85,-1
88,89,91,85,-1
88,90,88,84,-2
88,90,91,84,-2
88,90,92,83,-2
88,91,85,83,-3
88,90,89,82,-2
88,90,89,82,-2
88,90,88,81,-2
88,90,89,81,-2
88,90,89,80,-2
88,90,88,80,-2
88,89,87,79,-1
88,90,91,79,-2
88,89,87,79,-1
88,89,91,78,-1
88,89,93,78,-1
88,90,92,78,-2
88,90,90,77,-2
88,90,91,77,-2
88,90,91,76,-2
88,90,89,76,-2
88,90,91,75,-2
88,90,89,75,-2
88,90,90,74,-2
88,90,91,74,-2
88,90,92,73,-2
88,90,88,73,-2
88,90,91,72,-2
88,90,89,72,-2
88,90,87,71,-2
88,89,89,71,-1
88,89,90,71,-1
88,89,93,70,-1
88,90,93,70,-2
88,91,93,69,-3
88,90,89,69,-2
88,90,92,68,-2
88,90,89,68,-2
88,90,88,67,-2
88,89,88,67,-1
88,88,90,74,0
88,88,89,74,0
88,89,88,74,-1
88,89,91,74,-1
88,88,89,74,0
88,88,88,74,0
88,88,91,74,0
88,87,91,74,0
88,88,93,74,0
88,89,96,74,-1
88,90,93,73,-2
88,91,93,73,-3
88,91,91,72,-3
88,91,91,71,-3
88,90,89,71,-2
88,91,89,70,-3
88,90,87,69,-2
88,89,86,69,-1
88,89,90,69,-1
88,88,86,71,0
88,88,87,71,0
88,87,88,71,0
88,86,85,71,1
88,86,86,71,1
88,85,88,72,2
88,86,91,72,1
88,87,91,72,0
88,87,93,72,0
88,88,89,72,0
88,88,91,72,0
88,88,93,72,0
88,88,89,72,0
88,89,89,71,-1
88,89,88,71,-1
88,88,90,71,0
88,88,87,71,0
88,88,89,71,0
88,88,87,71,0
88,87,85,71,0
88,87,87,71,0
88,86,86,71,1
88,86,86,72,1
88,86,89,72,1
88,86,89,72,1
88,86,91,72,1
88,87,88,72,0
88,86,87,72,1
88,86,87,72,1
88,86,87,73,1
88,86,86,73,1
88,86,84,73,1
88,85,89,74,2
88,85,91,74,2
88,86,90,74,1
88,86,91,75,1
88,87,91,74,0
88,87,87,74,0
88,86,76,127,1
88,84,73,127,0
88,82,74,127,0
